wp1,wp2,wp3,wp4,wp5,wp6,wp7
0.045,0,0.119,0.006,0.147,0.079,0.025
0.075,0,0.049,0.083,0.172,0.026,0.025
0.04,0.005,0.01,0,0.177,0.026,0
0.01,0.011,0.049,0,0.167,0.026,0
0.005,0.016,0.04,0,0.228,0.039,0.025
0,0.016,0.04,0,0.329,0.013,0
0,0.048,0.04,0,0.49,0.026,0
0.005,0.032,0.099,0.006,0.602,0.013,0
0.02,0.011,0.03,0,0.566,0,0.025
0.025,0.005,0.03,0,0.586,0,0.025
0.015,0,0.04,0,0.475,0.013,0.025
0,0.005,0.03,0,0.41,0.013,0
0,0.005,0.03,0,0.42,0.013,0
0,0,0.03,0.011,0.404,0.026,0
0.015,0.005,0.069,0.033,0.506,0.066,0.025
0.03,0.005,0,0.011,0.465,0.053,0
0.045,0,0,0.077,0.465,0.066,0
0.045,0,0,0.176,0.303,0.092,0.025
0.06,0,0.04,0.198,0.177,0.105,0.051
0.09,0,0.069,0.138,0.121,0.105,0.101
0.07,0.011,0.089,0.039,0.131,0.066,0.051
0.125,0.074,0.227,0.088,0.192,0.105,0.051
0.125,0.111,0.395,0.121,0.202,0.092,0.051
0.135,0.143,0.395,0.116,0.162,0.105,0.076
0.18,0.18,0.425,0.077,0.217,0.066,0
0.105,0.238,0.277,0.044,0.197,0.066,0.025
0.12,0.185,0.208,0.017,0.137,0.053,0
0.05,0.196,0.198,0.017,0.152,0.066,0.051
0.03,0.444,0.227,0.209,0.187,0.237,0.253
0,0.418,0.257,0.011,0.222,0.013,0
0,0.487,0.316,0.022,0.131,0.039,0
0.025,0.672,0.375,0.22,0.131,0.145,0.126
0.035,0.27,0.375,0.242,0.172,0.184,0.303
0,0.233,0.395,0.253,0.172,0.263,0.354
0.075,0.296,0.395,0.342,0.142,0.316,0.404
0.266,0.312,0.455,0.435,0.086,0.329,0.404
0.261,0.212,0.524,0.59,0.086,0.461,0.48
0.371,0.169,0.642,0.567,0.106,0.447,0.53
0.316,0.026,0.613,0.468,0.066,0.342,0.505
0.221,0.164,0.672,0.479,0.116,0.368,0.455
0.231,0.058,0.692,0.468,0.162,0.382,0.429
0.266,0,0.375,0.424,0.106,0.329,0.429
0.206,0,0.128,0.077,0.035,0.289,0.379
0.185,0,0.306,0.077,0.03,0.434,0.404
0.175,0,0.494,0.022,0.091,0.197,0.177
0.286,0.021,0.632,0,0.111,0.026,0.025
0.09,0.042,0.929,0,0.116,0.039,0.025
0,0.048,0.85,0,0.111,0.013,0
0,0.032,0.781,0.022,0.157,0.013,0.025
0,0.032,0.8,0,0.233,0.026,0.051
0.015,0.011,0.543,0,0.233,0.053,0.126
0.045,0.005,0.435,0,0.131,0.105,0.025
0.055,0.005,0.504,0.05,0.091,0.263,0.227
0.13,0.021,0.494,0.22,0.192,0.171,0.051
0.18,0.021,0.296,0.248,0.253,0.132,0
0.19,0.005,0.168,0.198,0.298,0.053,0.025
0.18,0,0.208,0.143,0.278,0.053,0.051
0.311,0,0.198,0.055,0.111,0.013,0
0.261,0,0.109,0.006,0.04,0,0
0.15,0,0.198,0.006,0.04,0.013,0
0.13,0,0.178,0.033,0.106,0.053,0
0.08,0,0.227,0.083,0.212,0.079,0
0.065,0,0.227,0.099,0.334,0.066,0.025
0.08,0,0.119,0.061,0.344,0.066,0
0.07,0,0.138,0.061,0.369,0.132,0.051
0.145,0,0.346,0.143,0.273,0.118,0.025
0.165,0,0.702,0.204,0.248,0.145,0.076
0.195,0,0.83,0.369,0.389,0.211,0.101
0.185,0.005,0.879,0.264,0.263,0.158,0.051
0.17,0,0.81,0.11,0.116,0.105,0.051
0.17,0.005,0.81,0.028,0.066,0.039,0.025
0.135,0.016,0.741,0.006,0.035,0.013,0
0.055,0.016,0.632,0,0.086,0.013,0
0.04,0.053,0.632,0,0.228,0.013,0
0.025,0.074,0.464,0,0.182,0.013,0
0.005,0.042,0.415,0,0.228,0.013,0
0.015,0.048,0.385,0,0.46,0.013,0
0.025,0.053,0.296,0,0.485,0.026,0.051
0.055,0.111,0.445,0.028,0.44,0.013,0.025
0.06,0.122,0.583,0,0.308,0.026,0.025
0.07,0.079,0.366,0,0.369,0.013,0
0.06,0.095,0.247,0,0.394,0.026,0
0.09,0.101,0.237,0.044,0.425,0.026,0
0.135,0.09,0.316,0.088,0.354,0.079,0.101
0.095,0.122,0.336,0.105,0.43,0.105,0.126
0.105,0.095,0.217,0.11,0.46,0.184,0.126
0.1,0.095,0.128,0.187,0.576,0.211,0.152
0.16,0.127,0.02,0.16,0.485,0.145,0.101
0.281,0.053,0.01,0.298,0.511,0.197,0.101
0.316,0.037,0.079,0.287,0.597,0.145,0.051
0.271,0.021,0.178,0.364,0.607,0.184,0.076
0.321,0.021,0.296,0.364,0.667,0.184,0.076
0.251,0.032,0.257,0.397,0.718,0.237,0.126
0.236,0.011,0.296,0.435,0.632,0.25,0.126
0.311,0,0.227,0.452,0.586,0.289,0.152
0.381,0,0.267,0.452,0.43,0.303,0.152
0.361,0.011,0.208,0.375,0.415,0.197,0.101
0.301,0.042,0.198,0.176,0.187,0.079,0.025
0.201,0.074,0.198,0.061,0.157,0.039,0
0.145,0.127,0.168,0.083,0.137,0.066,0
0.145,0.153,0.168,0.094,0.167,0.079,0.025
0.105,0.153,0.247,0.193,0.137,0.118,0.101
0.211,0.217,0.356,0.325,0.268,0.237,0.227
0.175,0.18,0.385,0.496,0.319,0.355,0.303
0.175,0.18,0.445,0.452,0.349,0.316,0.253
0.276,0.243,0.415,0.43,0.243,0.263,0.303
0.311,0.28,0.336,0.336,0.182,0.237,0.227
0.296,0.243,0.277,0.32,0.091,0.211,0.227
0.296,0.254,0.247,0.43,0.131,0.276,0.429
0.216,0.19,0.257,0.413,0.152,0.368,0.53
0.256,0.063,0.366,0.347,0.192,0.487,0.53
0.291,0.063,0.435,0.391,0.263,0.461,0.303
0.326,0.116,0.425,0.529,0.288,0.487,0.328
0.451,0.175,0.514,0.793,0.364,0.474,0.379
0.762,0.153,0.613,0.86,0.303,0.474,0.379
0.797,0.127,0.603,0.832,0.228,0.474,0.354
0.827,0.249,0.711,0.76,0.313,0.474,0.354
0.757,0.228,0.771,0.755,0.298,0.461,0.556
0.777,0.201,0.771,0.76,0.253,0.474,0.631
0.566,0.185,0.534,0.744,0.207,0.355,0.455
0.486,0.095,0.425,0.639,0.187,0.224,0.253
0.381,0.053,0.464,0.402,0.152,0.25,0.379
0.306,0.058,0.761,0.204,0.116,0.184,0.48
0.386,0.042,0.543,0.215,0.04,0.237,0.455
0.135,0.016,0.415,0.314,0.035,0.184,0.455
0.251,0.011,0.543,0.237,0.126,0.118,0.429
0.311,0.085,0.543,0.193,0.106,0.132,0.328
0.351,0.058,0.158,0.05,0.207,0.145,0.177
0.261,0.127,0.188,0.028,0.126,0.118,0.051
0.11,0.159,0.188,0.028,0,0.053,0
0.085,0.169,0.148,0.05,0.035,0.066,0.025
0.175,0.122,0.296,0.094,0.202,0.066,0
0.216,0.079,0.069,0.121,0.369,0.053,0.025
0.185,0.058,0,0.16,0.597,0.066,0.051
0.256,0.095,0,0.171,0.45,0.066,0.051
0.09,0.138,0,0.039,0.298,0.066,0.051
0.04,0.111,0,0.143,0.228,0.026,0
0.005,0.079,0,0.209,0.243,0.053,0
0,0.021,0,0.099,0.202,0.105,0.025
0,0.011,0,0.033,0.187,0.079,0
0.005,0.175,0,0.006,0.142,0.013,0
0.035,0.323,0,0.028,0.025,0.026,0
0.045,0.381,0.01,0.061,0.02,0.053,0
0.075,0.354,0.02,0.044,0.061,0.066,0.025
0.105,0.196,0.02,0.006,0.056,0.039,0.025
0.14,0.111,0.01,0,0.02,0.013,0
0.07,0.032,0,0,0,0,0
0.065,0.026,0,0,0,0,0
0.005,0.032,0,0,0,0.026,0
0,0.011,0.01,0,0.005,0.026,0
0.015,0.005,0.079,0,0.025,0.013,0
0.065,0,0.02,0,0.046,0,0
0.065,0.026,0.01,0,0.081,0,0
0.095,0.058,0,0,0.207,0,0
0.08,0.048,0,0,0.319,0.013,0
0.055,0.011,0,0,0.152,0.013,0
0.01,0,0,0,0.096,0.013,0
0,0.026,0,0,0.167,0.039,0
0,0.106,0.01,0,0.126,0.079,0
0,0.122,0.01,0,0.035,0.013,0
0,0.122,0,0,0.056,0,0
0.05,0.048,0,0,0.116,0,0
0.08,0.005,0,0,0.142,0.013,0
0.18,0.005,0.03,0.017,0.212,0.039,0
0.185,0.053,0.059,0.033,0.268,0.053,0
0.155,0.19,0.148,0.039,0.334,0.026,0
0.15,0.138,0.178,0.006,0.44,0.039,0
0.095,0.085,0.158,0.011,0.288,0.053,0
0.06,0.032,0.069,0.022,0.121,0.039,0
0.04,0.005,0.01,0.017,0.061,0.026,0
0.045,0,0,0,0.076,0.026,0
0.015,0.016,0,0,0.081,0.039,0
0,0.063,0,0,0.066,0.026,0
0,0.058,0,0,0.01,0.053,0.025
0,0.074,0,0,0.005,0.105,0.101
0,0.048,0,0.006,0.046,0.158,0.202
0,0.021,0,0.11,0.111,0.289,0.379
0,0.048,0,0.303,0.137,0.237,0.202
0.02,0.058,0,0.364,0.081,0.224,0.126
0.165,0.048,0,0.27,0.046,0.132,0.076
0.18,0.016,0,0.154,0.056,0.079,0
0.165,0,0,0.05,0.051,0.026,0
0.105,0,0,0,0.056,0.013,0
0.045,0,0,0,0.051,0,0
0,0,0,0,0.03,0.013,0
0.035,0,0,0,0,0.013,0
0.095,0,0,0,0,0.026,0
0.14,0,0.02,0.028,0,0.053,0.025
0.185,0.005,0.049,0.044,0.005,0.066,0.051
0.246,0,0.178,0.061,0.04,0.079,0.051
0.266,0,0.128,0.066,0.101,0.079,0.025
0.261,0.026,0.04,0.044,0.162,0.053,0.025
0.256,0.016,0.02,0.006,0.182,0.039,0.025
0.211,0.026,0.099,0,0.197,0.013,0
0.15,0.011,0.04,0,0.212,0,0
0.065,0,0,0,0.187,0,0
0.04,0,0,0,0.111,0,0
0.085,0.011,0,0,0.096,0,0
0.015,0.074,0,0,0.248,0.039,0
0,0.116,0.01,0.011,0.217,0.092,0.126
0,0.159,0.01,0.105,0.142,0.211,0.253
0,0.381,0.01,0.259,0.162,0.224,0.328
0.02,0.487,0.03,0.446,0.086,0.237,0.303
0.09,0.529,0.02,0.579,0.046,0.368,0.328
0.155,0.55,0,0.59,0.015,0.368,0.303
0.311,0.577,0,0.49,0.005,0.342,0.253
0.281,0.556,0.04,0.391,0.015,0.224,0.202
0.14,0.529,0.089,0.204,0.005,0.145,0.051
0.216,0.497,0.158,0.165,0,0.132,0.025
0.311,0.513,0.208,0.325,0.03,0.368,0.328
0.351,0.529,0.277,0.573,0.071,0.618,0.556
0.286,0.614,0.296,0.683,0.086,0.553,0.505
0.286,0.582,0.296,0.744,0.101,0.579,0.556
0.326,0.45,0.247,0.777,0.061,0.684,0.556
0.416,0.471,0.188,0.848,0.035,0.724,0.556
0.556,0.407,0.158,0.821,0.015,0.684,0.606
0.622,0.148,0.119,0.744,0.005,0.711,0.657
0.491,0.032,0.128,0.661,0,0.632,0.556
0.311,0.026,0.158,0.534,0,0.632,0.581
0.276,0,0.188,0.468,0,0.566,0.53
0.331,0,0.148,0.413,0.02,0.25,0.227
0.376,0.021,0.119,0.32,0.071,0.171,0.177
0.346,0.021,0.128,0.259,0.157,0.132,0.202
0.206,0.095,0.138,0.193,0.44,0.132,0.076
0.075,0.116,0.227,0.16,0.546,0.184,0.126
0.045,0.159,0.138,0.226,0.47,0.276,0.328
0.15,0.27,0.148,0.435,0.516,0.487,0.581
0.19,0.259,0.336,0.077,0.384,0.079,0.177
0.216,0.18,0.168,0.072,0.425,0.066,0.126
0.17,0.206,0.119,0.05,0.303,0.053,0.051
0.05,0.196,0.119,0.05,0.167,0.066,0.025
0.035,0.116,0.109,0.05,0.248,0.079,0.076
0.085,0.095,0.069,0.127,0.243,0.132,0.101
0.09,0.101,0.119,0.094,0.258,0.132,0.126
0.15,0.101,0.128,0.193,0.137,0.197,0.152
0.346,0.249,0.198,0.309,0.137,0.276,0.202
0.456,0.349,0.247,0.353,0.222,0.289,0.177
0.551,0.381,0.217,0.496,0.268,0.289,0.126
0.586,0.349,0.188,0.584,0.369,0.342,0.177
0.602,0.413,0.227,0.59,0.384,0.263,0.126
0.607,0.212,0.267,0.49,0.278,0.171,0.051
0.486,0.048,0.257,0.309,0.324,0.105,0.025
0.296,0.032,0.158,0.154,0.329,0.092,0
0.15,0,0.178,0.193,0.187,0.171,0.025
0.12,0,0.198,0.325,0.197,0.276,0.126
0.231,0,0.148,0.264,0.212,0.211,0.202
0.361,0,0.138,0.099,0.253,0.145,0.177
0.376,0.021,0.188,0,0.116,0.092,0.126
0.416,0.106,0.188,0.011,0.051,0.092,0.076
0.281,0.228,0.109,0.061,0.03,0.132,0.126
0.155,0.196,0.069,0.226,0.005,0.132,0.076
0.14,0.212,0.01,0.226,0,0.092,0.025
0.211,0.275,0,0.198,0.01,0.105,0.025
0.19,0.339,0.03,0.331,0.035,0.171,0.126
0.11,0.212,0.148,0.397,0.086,0.263,0.303
0.09,0.159,0.148,0.446,0.253,0.342,0.278
0.13,0.175,0.247,0.479,0.303,0.447,0.328
0.301,0.148,0.415,0.545,0.308,0.553,0.505
0.441,0.132,0.563,0.612,0.319,0.645,0.657
0.501,0.053,0.613,0.755,0.278,0.776,0.758
0.602,0.011,0.682,0.832,0.243,0.803,0.884
0.782,0.011,0.87,0.738,0.222,0.684,0.859
0.712,0,0.919,0.782,0.157,0.671,0.884
0.637,0,0.909,0.937,0.071,0.816,0.808
0.777,0,0.771,0.92,0.051,0.855,0.808
0.727,0,0.83,0.904,0.051,0.855,0.783
0.667,0,0.86,0.854,0.116,0.842,0.833
0.722,0,0.958,0.777,0.243,0.816,0.808
0.707,0.111,0.968,0.804,0.415,0.789,0.682
0.541,0.148,0.949,0.771,0.445,0.776,0.833
0.516,0.116,0.929,0.793,0.511,0.855,0.909
0.687,0.095,0.929,0.777,0.531,0.829,0.884
0.586,0.307,0.899,0.821,0.46,0.816,0.859
0.551,0.238,0.879,0.821,0.485,0.776,0.833
0.541,0.138,0.771,0.744,0.47,0.737,0.808
0.451,0.127,0.613,0.722,0.47,0.711,0.732
0.331,0.259,0.534,0.694,0.501,0.658,0.707
0.306,0.54,0.277,0.595,0.45,0.658,0.657
0.306,0.471,0.217,0.551,0.546,0.553,0.631
0.271,0.614,0.227,0.496,0.647,0.487,0.53
0.261,0.693,0.198,0.474,0.693,0.395,0.379
0.271,0.635,0.316,0.402,0.738,0.355,0.379
0.241,0.698,0.217,0.463,0.718,0.408,0.48
0.356,0.688,0.237,0.474,0.586,0.329,0.404
0.316,0.751,0.296,0.375,0.647,0.276,0.278
0.461,0.683,0.474,0.364,0.789,0.25,0.227
0.551,0.746,0.366,0.204,0.632,0.224,0.202
0.476,0.757,0.395,0.287,0.632,0.184,0.177
0.596,0.746,0.425,0.424,0.637,0.434,0.303
0.306,0.677,0.267,0.397,0.597,0.474,0.429
0.421,0.492,0.277,0.375,0.657,0.408,0.328
0.291,0.376,0.326,0.413,0.526,0.421,0.253
0.206,0.323,0.208,0.375,0.359,0.487,0.328
0.281,0.307,0.464,0.523,0.197,0.434,0.278
0.281,0.296,0.366,0.38,0.091,0.5,0.278
0.461,0.37,0.306,0.292,0.137,0.289,0.278
0.451,0.286,0.208,0.435,0.131,0.368,0.202
0.346,0.27,0.158,0.413,0.091,0.303,0.278
0.18,0.302,0.109,0.32,0.369,0.263,0.126
0.14,0.376,0.03,0.132,0.248,0.171,0.076
0.105,0.302,0.03,0.055,0.238,0.066,0
0.105,0.138,0.03,0.033,0.187,0.026,0
0.165,0.127,0.01,0.028,0.131,0.026,0
0.105,0.116,0,0.061,0.025,0.079,0.025
0.185,0.101,0.01,0.209,0,0.145,0.126
0.246,0.111,0,0.259,0.005,0.145,0.101
0.256,0.106,0,0.259,0.035,0.184,0.101
0.306,0.111,0,0.336,0.121,0.224,0.177
0.396,0.116,0.02,0.353,0.177,0.237,0.177
0.316,0.169,0.059,0.375,0.172,0.211,0.152
0.316,0.148,0.069,0.325,0.238,0.184,0.101
0.336,0.138,0.049,0.237,0.475,0.105,0.025
0.311,0.127,0.099,0.215,0.586,0.079,0
0.291,0.106,0.128,0.138,0.566,0.039,0
0.13,0.053,0.099,0.061,0.485,0.026,0
0.11,0.026,0.059,0.017,0.399,0.026,0
0.085,0.042,0.04,0,0.288,0.039,0
0.065,0.026,0,0,0.238,0.013,0
0.02,0.037,0,0,0.182,0,0
0.02,0.026,0,0,0.147,0,0
0.085,0.026,0.01,0,0.152,0,0
0.12,0.016,0.04,0.006,0.131,0,0
0.135,0.011,0.069,0.05,0.126,0.013,0
0.206,0,0.069,0.044,0.121,0.039,0
0.206,0.021,0.04,0.066,0.101,0.066,0
0.145,0.032,0.01,0.077,0.091,0.066,0.025
0.07,0.011,0.02,0.044,0.091,0.092,0.051
0.05,0,0.01,0.017,0.101,0.026,0
0.16,0.005,0.01,0,0.147,0,0
0.185,0.005,0.04,0,0.126,0.026,0
0.185,0.016,0.02,0.006,0.116,0.026,0
0.16,0.042,0.02,0.017,0.142,0.053,0
0.17,0.079,0.03,0.028,0.172,0.053,0
0.175,0.111,0.04,0.05,0.233,0.053,0
0.19,0.063,0.069,0.121,0.374,0.066,0
0.256,0.085,0.089,0.094,0.475,0.053,0
0.351,0.19,0.128,0.022,0.364,0.026,0
0.336,0.302,0.128,0,0.106,0.013,0
0.231,0.201,0.089,0,0.046,0,0
0.18,0.095,0.079,0,0.142,0,0
0.226,0.021,0.049,0,0.091,0,0
0.231,0.037,0.059,0.006,0.015,0.013,0
0.256,0.058,0.04,0.055,0.116,0.039,0
0.356,0.048,0.04,0.143,0.197,0.053,0.025
0.386,0.032,0.01,0.127,0.278,0.132,0.076
0.306,0.016,0.03,0.072,0.091,0.145,0.152
0.341,0.021,0.148,0.066,0.02,0.092,0.177
0.251,0.005,0.277,0.044,0.01,0.066,0.051
0.195,0.005,0.385,0.05,0.035,0.066,0.025
0.17,0.005,0.425,0.077,0.025,0.079,0.051
0.085,0.005,0.415,0.061,0.035,0.092,0.051
0.025,0,0.198,0,0.056,0.066,0
0.005,0,0.03,0,0.051,0.026,0
0.025,0,0,0,0.051,0.013,0
0.005,0,0,0,0.035,0.026,0
0,0,0.02,0.011,0.025,0.066,0.025
0,0.005,0.079,0.028,0,0.066,0.025
0,0.011,0.099,0.011,0.01,0.053,0.025
0,0.016,0.079,0.044,0.03,0.039,0.025
0,0.011,0.049,0.011,0.076,0.026,0
0.035,0,0.01,0.006,0.162,0.013,0
0.045,0,0,0,0.131,0,0
0.01,0,0,0,0.157,0,0
0,0.005,0.02,0,0.101,0,0
0,0.095,0.02,0,0.061,0,0
0,0.254,0.04,0,0.025,0.026,0
0,0.317,0.049,0.006,0.015,0.066,0.025
0,0.402,0.079,0.028,0.051,0.079,0.101
0,0.476,0.069,0.088,0.04,0.145,0.177
0,0.444,0.109,0.127,0.046,0.145,0.177
0,0.646,0.227,0.094,0.04,0.158,0.202
0,0.767,0.247,0.149,0.051,0.171,0.278
0,0.661,0.267,0.259,0.076,0.276,0.379
0.04,0.677,0.237,0.347,0.096,0.355,0.48
0.125,0.847,0.277,0.375,0.111,0.355,0.53
0.135,0.799,0.316,0.38,0.076,0.329,0.505
0.085,0.772,0.277,0.435,0.071,0.368,0.505
0.08,0.709,0.208,0.43,0.071,0.368,0.404
0.19,0.81,0.267,0.402,0.071,0.263,0.328
0.261,0.81,0.316,0.419,0.066,0.461,0.429
0.291,0.698,0.751,0.584,0.061,0.618,0.581
0.326,0.667,0.662,0.479,0.035,0.553,0.631
0.436,0.524,0.87,0.424,0.02,0.618,0.732
0.331,0.471,0.553,0.171,0.01,0.368,0.732
0.17,0.397,0.949,0.358,0.005,0.224,0.581
0.216,0.228,0.702,0.413,0.005,0.289,0.354
0.231,0.127,0.316,0.314,0,0.211,0.354
0.216,0.111,0.514,0.259,0,0.276,0.278
0.251,0.111,0.771,0.171,0.01,0.145,0.202
0.246,0.116,0.909,0.171,0.025,0.105,0.101
0.216,0.079,0.939,0.16,0.076,0.079,0.101
0.13,0.095,0.939,0.088,0.116,0.066,0.101
0.1,0.127,0.8,0.105,0.228,0.066,0.101
0.11,0.127,0.583,0.127,0.394,0.158,0.126
0.055,0.365,0.682,0.088,0.308,0.118,0.126
0.055,0.307,0.563,0.132,0.374,0.105,0.126
0.055,0.344,0.356,0.028,0.263,0.092,0.177
0.03,0.026,0.642,0.077,0.278,0.25,0.177
0.06,0.497,0.603,0.204,0.253,0.211,0.227
0.13,0.72,0.623,0.105,0.222,0.197,0.328
0.155,0.667,0.662,0.011,0.228,0.224,0.404
0.201,0.349,0.455,0.171,0.263,0.118,0.025
0.11,0.122,0.553,0.22,0.248,0.092,0.025
0.356,0.005,0.761,0.49,0.197,0.316,0.202
0.627,0,0.672,0.54,0.071,0.487,0.278
0.511,0,0.652,0.689,0.374,0.289,0.202
0.586,0,0.593,0.612,0.319,0.355,0.253
0.366,0.005,0.632,0.446,0.313,0.355,0.278
0.12,0.111,0.692,0.325,0.116,0.342,0.379
0.125,0.085,0.662,0.49,0.126,0.184,0.581
0.732,0.032,0.583,0.149,0.106,0.118,0.48
0.211,0.037,0.711,0.11,0.142,0.026,0.253
0.07,0.053,0.83,0.017,0.142,0.026,0.051
0.115,0.09,0.455,0.006,0.228,0.039,0.101
0.211,0.048,0.227,0.011,0.046,0.013,0.076
0.291,0.016,0.425,0.033,0.192,0.026,0.101
0.251,0.021,0.336,0.132,0.506,0.158,0.303
0.206,0.005,0.405,0.028,0.672,0.289,0.606
0.251,0,0.425,0.16,0.389,0.184,0.354
0.1,0.011,0.642,0.011,0.298,0.026,0.303
0.1,0.005,0.375,0.011,0.369,0.079,0.278
0.195,0,0.247,0.094,0.308,0.145,0.227
0.175,0.053,0.03,0,0.137,0.066,0.025
0.045,0.053,0,0,0.283,0.026,0.025
0.065,0.005,0,0,0.202,0.066,0
0.07,0,0,0.011,0.046,0.092,0.101
0.09,0,0,0.033,0.03,0.092,0.101
0.12,0.011,0,0.061,0.076,0.092,0.101
0.13,0.016,0,0.176,0.137,0.171,0.025
0.15,0.042,0,0.022,0.081,0.092,0.177
0.211,0.032,0,0,0.091,0.013,0
0.01,0.048,0,0,0.076,0.026,0.025
0.03,0.032,0,0.011,0.091,0.026,0
0.045,0.011,0,0,0.091,0.013,0
0.06,0.037,0,0,0.01,0,0
0.07,0.058,0,0,0.04,0,0
0.06,0.079,0,0,0.03,0,0
0.105,0.053,0,0,0.137,0,0
0.09,0.032,0,0,0.172,0,0
0.17,0.074,0,0,0.126,0,0
0.13,0.016,0,0,0.101,0.026,0
0.11,0.016,0,0.072,0.076,0.053,0.025
0.13,0.048,0,0.055,0.071,0.013,0
0.055,0.026,0,0.022,0.091,0.013,0
0.05,0.021,0,0,0.081,0.013,0
0.04,0.053,0,0,0.106,0,0
0.02,0.048,0,0,0.035,0,0
0.03,0.074,0,0,0,0,0
0,0.101,0,0,0,0,0
0,0.079,0,0,0,0,0
0,0.069,0,0.006,0.03,0,0
0.01,0.042,0,0.028,0.03,0.079,0.051
0.06,0.058,0,0.066,0.051,0.132,0.101
0.065,0.138,0,0.121,0.056,0.158,0.202
0.065,0.238,0,0.072,0.076,0.145,0.202
0.065,0.275,0,0.011,0.071,0.066,0.076
0.025,0.265,0,0,0.071,0.066,0.025
0.02,0.243,0.02,0,0.051,0.039,0
0.06,0.206,0.158,0.017,0.091,0.066,0
0.03,0.132,0.237,0.022,0.243,0.066,0.025
0.06,0.132,0.198,0.006,0.035,0.053,0.051
0.135,0.079,0.158,0,0,0.039,0.025
0.12,0.063,0.109,0,0,0.039,0.025
0.13,0.069,0.099,0,0,0.013,0.025
0.115,0.048,0.099,0,0,0,0
0.115,0.048,0.119,0,0.005,0,0
0.11,0.042,0.128,0,0.01,0,0
0.06,0.011,0.227,0,0,0,0
0.03,0,0.198,0,0,0,0
0.045,0,0.128,0,0,0,0
0.045,0,0.158,0,0.005,0,0
0.015,0,0.099,0,0.005,0,0
0.005,0,0.099,0,0,0,0
0.025,0,0.099,0,0,0,0
0.035,0,0.069,0,0,0.013,0
0.03,0,0.04,0.006,0,0.039,0.025
0.01,0,0.02,0.039,0,0.092,0.076
0.005,0,0.03,0.028,0,0.118,0.101
0,0,0.04,0.066,0,0.132,0.152
0,0,0.04,0.099,0,0.158,0.177
0.01,0,0.01,0.099,0,0.145,0.152
0.015,0,0,0.066,0,0.145,0.101
0.025,0.021,0.069,0.011,0,0.079,0.051
0.02,0.058,0.148,0,0,0.053,0.025
0.05,0.09,0.138,0,0,0.039,0.025
0.05,0.138,0.128,0,0,0.026,0.025
0.015,0.148,0.069,0,0,0.026,0.051
0,0.153,0.059,0,0,0.013,0.051
0,0.132,0.079,0,0,0.026,0
0,0.116,0.069,0,0,0.013,0.025
0,0.106,0.099,0,0,0.026,0
0.005,0.164,0.138,0,0.005,0.026,0.051
0,0.153,0.119,0,0.01,0.039,0.025
0,0.18,0.128,0,0,0.026,0
0,0.122,0.128,0,0,0.013,0
0,0.048,0.059,0,0,0,0
0,0.011,0.02,0,0,0,0
0,0,0.02,0,0,0,0
0,0,0.01,0,0,0,0
0,0,0,0,0,0,0
0,0.021,0,0,0,0.026,0
0,0.037,0.01,0,0,0.026,0
0,0.021,0.02,0,0,0.013,0
0,0.037,0,0,0.015,0.013,0
0,0.058,0,0,0.061,0.013,0
0.015,0.079,0,0,0.086,0,0
0.01,0.069,0,0,0.081,0,0
0.01,0.053,0,0,0.076,0,0
0.005,0.063,0,0,0.061,0,0
0,0.111,0,0,0.051,0,0
0,0.122,0,0,0.035,0,0
0,0.143,0.01,0,0.04,0,0
0,0.153,0.01,0,0.03,0.026,0
0,0.175,0,0,0,0.039,0
0,0.185,0,0.006,0.01,0.026,0
0.01,0.169,0,0.039,0.005,0.039,0
0.055,0.153,0,0.05,0,0.066,0.025
0.05,0.148,0,0.072,0,0.092,0.025
0.005,0.138,0,0.121,0,0.118,0.051
0,0.106,0,0.072,0,0.066,0
0,0.106,0,0.006,0,0.026,0
0,0.153,0,0.006,0.015,0.039,0
0,0.196,0.01,0,0.046,0.039,0
0,0.243,0,0,0.056,0.053,0
0.005,0.196,0,0.039,0.076,0.066,0
0.01,0.138,0.01,0.061,0.096,0.079,0.025
0.03,0.116,0.01,0.061,0.081,0.066,0
0.045,0.095,0.01,0.055,0.061,0.039,0
0.03,0.053,0,0.006,0.03,0.026,0
0.03,0.116,0,0,0.005,0.026,0
0.01,0.286,0,0,0,0.013,0
0.035,0.455,0,0.022,0,0.053,0
0.04,0.185,0.01,0.116,0.005,0.066,0
0.055,0.127,0.04,0.22,0.025,0.105,0.025
0.075,0.228,0.049,0.292,0.046,0.184,0.101
0.09,0.259,0.069,0.358,0.04,0.224,0.278
0.115,0.27,0.059,0.353,0.051,0.263,0.177
0.115,0.164,0.04,0.375,0.061,0.197,0.152
0.09,0.069,0.01,0.303,0.066,0.184,0.202
0.14,0.021,0,0.402,0.04,0.25,0.227
0.15,0.021,0,0.441,0.01,0.263,0.202
0.175,0.053,0,0.446,0,0.25,0.152
0.19,0.053,0,0.347,0.01,0.184,0.152
0.09,0.005,0,0.237,0.03,0.132,0.076
0.03,0,0,0.204,0.03,0.171,0.126
0.07,0,0,0.182,0.02,0.158,0.152
0.09,0,0,0.149,0.02,0.118,0.101
0.115,0,0,0.116,0.01,0.092,0.051
0.105,0,0.04,0.088,0.035,0.053,0.025
0.075,0.048,0.059,0.028,0.066,0.053,0.025
0.06,0.111,0.059,0,0.061,0.039,0.025
0.045,0.169,0.02,0,0.03,0.026,0
0.045,0.201,0,0,0.03,0.026,0
0.015,0.164,0,0,0.046,0.026,0
