wp1,wp2,wp3,wp4,wp5,wp6,wp7
0.361,0.143,0.316,0.347,0.192,0.342,0.53
0.291,0.185,0.623,0.358,0.142,0.368,0.48
0.331,0.238,0.8,0.402,0.131,0.355,0.379
0.461,0.296,0.84,0.309,0.177,0.289,0.429
0.446,0.333,0.87,0.253,0.162,0.25,0.455
0.276,0.339,0.899,0.138,0.192,0.224,0.404
0.18,0.238,0.909,0.121,0.131,0.197,0.303
0.155,0.116,0.909,0.138,0.061,0.224,0.278
0.185,0.016,0.909,0.121,0.056,0.263,0.278
0.195,0.005,0.929,0.143,0.056,0.237,0.253
0.15,0.021,0.929,0.138,0.056,0.289,0.278
0.135,0.016,0.909,0.165,0.066,0.237,0.278
0.195,0.011,0.899,0.342,0.091,0.25,0.303
0.381,0.063,0.889,0.534,0.147,0.276,0.328
0.486,0.09,0.909,0.694,0.167,0.526,0.455
0.571,0.116,0.929,0.7,0.258,0.487,0.53
0.566,0.296,0.929,0.634,0.263,0.408,0.783
0.591,0.455,0.929,0.755,0.182,0.553,0.909
0.566,0.466,0.929,0.771,0.126,0.776,0.909
0.561,0.651,0.929,0.722,0.126,0.829,0.934
0.411,0.677,0.919,0.793,0.126,0.789,0.934
0.381,0.762,0.929,0.826,0.066,0.776,0.934
0.301,0.81,0.919,0.848,0.035,0.816,0.884
0.246,0.841,0.919,0.865,0.025,0.763,0.909
0.271,0.915,0.86,0.799,0.01,0.697,0.859
0.221,0.862,0.751,0.755,0.005,0.618,0.808
0.201,0.836,0.543,0.799,0.005,0.737,0.884
0.301,0.852,0.504,0.722,0.005,0.776,0.859
0.341,0.693,0.455,0.584,0.005,0.632,0.833
0.231,0.434,0.425,0.43,0,0.5,0.859
0.216,0.339,0.296,0.358,0,0.5,0.808
0.206,0.254,0.227,0.331,0,0.434,0.581
0.175,0.243,0.257,0.231,0,0.342,0.48
0.165,0.201,0.336,0.154,0,0.289,0.404
0.211,0.18,0.316,0.143,0,0.224,0.354
0.211,0.286,0.257,0.204,0.005,0.25,0.303
0.165,0.54,0.178,0.176,0.096,0.184,0.202
0.19,0.894,0.296,0.171,0.147,0.132,0.328
0.271,0.963,0.711,0.275,0.167,0.263,0.505
0.331,0.968,0.81,0.347,0.106,0.487,0.581
0.391,0.958,0.692,0.364,0.076,0.513,0.606
0.416,0.894,0.573,0.496,0.131,0.566,0.707
0.286,0.783,0.81,0.512,0.177,0.684,0.833
0.281,0.757,0.919,0.573,0.253,0.605,0.758
0.276,0.915,0.899,0.485,0.258,0.447,0.631
0.236,0.857,0.84,0.264,0.157,0.25,0.556
0.09,0.847,0.623,0.303,0.131,0.408,0.657
0.291,0.778,0.326,0.38,0.126,0.5,0.707
0.296,0.619,0.198,0.606,0.101,0.579,0.657
0.175,0.476,0.178,0.496,0.061,0.329,0.581
0.18,0.439,0.138,0.463,0.096,0.342,0.631
0.231,0.656,0.198,0.446,0.147,0.421,0.53
0.281,0.799,0.128,0.446,0.157,0.408,0.53
0.296,0.683,0.168,0.479,0.152,0.447,0.429
0.185,0.693,0.089,0.424,0.116,0.421,0.379
0.165,0.751,0.099,0.336,0.167,0.316,0.253
0.175,0.693,0.138,0.325,0.091,0.237,0.177
0.1,0.582,0.208,0.182,0.005,0.118,0.101
0.085,0.407,0.277,0.099,0,0.079,0.051
0.09,0.196,0.217,0.028,0.035,0.132,0.101
0.08,0.09,0.128,0.05,0.076,0.211,0.253
0.04,0.042,0.128,0.204,0.106,0.118,0.177
0.015,0.005,0.138,0.094,0.126,0.039,0.025
0.03,0,0.198,0.033,0.061,0.039,0.025
0.201,0,0.119,0.022,0.025,0.092,0.126
0.241,0.016,0.217,0.094,0.116,0.224,0.253
0.09,0.032,0.148,0.364,0.096,0.237,0.202
0.1,0.005,0.267,0.309,0.035,0.197,0.278
0.19,0.011,0.178,0.264,0.071,0.316,0.354
0.386,0.053,0.188,0.298,0.091,0.434,0.455
0.301,0.042,0.138,0.452,0.288,0.461,0.455
0.366,0.069,0.188,0.49,0.966,0.539,0.404
0.466,0.053,0.237,0.562,0.865,0.487,0.48
0.536,0.048,0.306,0.579,0.915,0.513,0.429
0.591,0.09,0.316,0.446,0.854,0.395,0.404
0.561,0.09,0.336,0.391,0.758,0.421,0.455
0.627,0.122,0.316,0.419,0.885,0.289,0.328
0.591,0.148,0.287,0.386,0.905,0.145,0.177
0.757,0.111,0.296,0.501,0.89,0.171,0.227
0.832,0.148,0.366,0.485,0.93,0.171,0.303
0.757,0.238,0.247,0.347,0.93,0.158,0.202
0.596,0.206,0.227,0.342,0.925,0.197,0.202
0.586,0.296,0.198,0.364,0.93,0.132,0.051
0.521,0.254,0.237,0.369,0.95,0.105,0.051
0.421,0.296,0.336,0.198,0.961,0.118,0.025
0.346,0.254,0.356,0.165,0.956,0.079,0.025
0.366,0.265,0.346,0.182,0.966,0.066,0.051
0.381,0.254,0.257,0.231,0.966,0.132,0.101
0.421,0.259,0.208,0.253,0.94,0.171,0.126
0.411,0.153,0.217,0.253,0.905,0.184,0.152
0.381,0.101,0.208,0.154,0.829,0.132,0.126
0.291,0.138,0.168,0.094,0.46,0.105,0.076
0.251,0.101,0.158,0.066,0.222,0.066,0.076
0.236,0.063,0.128,0.033,0.233,0.079,0.025
0.135,0.053,0.089,0.017,0.202,0.053,0.025
0.125,0.079,0.059,0,0.177,0.026,0
0.206,0.116,0.059,0,0.111,0.013,0
0.236,0.021,0.049,0,0.061,0,0
0.185,0,0.01,0,0.106,0,0
0.125,0,0.01,0.006,0.091,0.013,0
0.055,0,0,0.011,0.096,0.026,0
0.02,0,0,0,0.051,0.013,0
0.04,0,0,0,0.03,0.013,0
0.04,0,0,0,0.025,0.026,0
0.015,0,0.02,0.006,0.02,0.013,0
0.005,0,0.03,0,0.005,0.013,0
0,0,0.049,0,0.005,0.013,0
0,0,0.03,0,0,0,0
0,0,0.02,0,0.005,0,0
0,0,0,0,0.04,0,0
0,0.021,0,0,0.005,0,0
0,0.153,0,0,0,0,0
0,0.201,0,0,0,0,0
0,0.254,0,0,0,0,0
0,0.259,0,0,0,0.013,0
0,0.36,0,0,0,0.013,0
0,0.228,0.01,0,0,0.013,0
0,0.307,0,0.011,0,0,0
0,0.307,0.01,0.006,0,0,0
0,0.354,0,0,0,0.013,0
0,0.381,0.01,0,0,0,0
0,0.476,0.02,0,0,0,0
0,0.317,0.03,0,0.005,0,0
0,0.296,0.079,0,0,0,0
0,0.296,0.089,0,0,0.013,0.025
0,0.354,0.119,0,0,0,0
0,0.582,0.128,0,0,0,0
0,0.672,0.198,0,0,0,0
0,0.735,0.237,0,0.005,0,0
0,0.577,0.267,0,0.025,0,0
0.005,0.624,0.247,0,0.03,0,0
0.01,0.556,0.119,0,0.046,0,0
0.005,0.683,0.138,0,0.106,0,0
0.02,0.767,0.217,0,0.172,0.013,0
0.02,0.73,0.474,0,0.162,0.013,0
0.04,0.593,0.573,0,0.106,0,0
0.145,0.741,0.662,0,0.035,0.039,0.126
0.08,0.709,0.761,0.171,0.01,0.211,0.354
0.201,0.725,0.781,0.457,0,0.395,0.631
0.236,0.783,0.791,0.507,0.035,0.342,0.758
0.291,0.725,0.721,0.529,0.056,0.461,0.783
0.496,0.619,0.395,0.584,0.076,0.408,0.783
0.366,0.556,0.366,0.331,0.101,0.079,0.606
0.291,0.603,0.306,0,0.096,0.053,0.631
0.366,0.73,0.257,0,0.081,0,0.126
0.331,0.778,0.346,0.028,0.066,0.092,0.227
0.18,0.725,0.405,0.231,0.015,0.197,0.177
0.115,0.55,0.464,0.176,0.005,0.105,0.177
0.05,0.497,0.573,0.209,0.066,0.184,0.328
0.03,0.508,0.543,0.182,0.197,0.145,0.303
0.02,0.413,0.425,0.033,0.212,0.118,0.303
0.035,0.529,0.277,0.017,0.126,0.184,0.328
0.09,0.561,0.178,0.022,0.076,0.158,0.303
0.08,0.524,0.178,0.011,0.01,0.092,0.101
0.13,0.503,0.208,0,0,0.132,0.126
0.18,0.466,0.217,0,0.025,0.066,0.126
0.175,0.603,0.287,0.022,0.061,0.079,0.126
0.261,0.651,0.198,0.077,0.106,0.079,0.051
0.231,0.656,0.178,0.165,0.03,0.066,0.101
0.216,0.614,0.158,0.275,0.03,0.079,0.177
0.19,0.497,0.02,0.198,0.025,0.145,0.253
0.206,0.423,0.04,0.116,0.04,0.145,0.278
0.1,0.386,0.049,0.149,0.071,0.171,0.253
0.055,0.286,0.049,0.204,0.071,0.158,0.227
0.04,0.212,0.059,0.165,0.121,0.158,0.278
0.045,0.169,0.04,0.099,0.126,0.105,0.202
0.035,0.153,0.03,0.11,0.131,0.079,0.101
0.03,0.159,0.02,0.05,0.172,0.053,0.101
0.03,0.148,0,0.006,0.152,0.039,0.076
0.015,0.111,0.01,0,0.157,0.053,0.076
0.03,0.111,0.02,0.017,0.147,0.053,0.076
0.05,0.101,0.02,0.033,0.137,0.039,0.051
0.025,0.074,0.02,0.028,0.131,0.066,0.101
0.02,0.122,0.04,0.006,0.101,0.066,0.076
0.02,0.339,0.03,0,0.091,0.053,0.051
0.015,0.439,0.01,0,0.056,0.053,0.025
0.01,0.275,0.02,0,0.04,0.039,0
0,0.323,0.04,0,0.04,0.039,0
0,0.434,0.049,0,0.03,0.026,0
0,0.45,0.049,0,0.056,0.013,0
0.005,0.36,0.04,0,0.071,0,0
0.005,0.254,0.02,0,0.086,0.013,0
0.005,0.212,0.079,0.006,0.116,0.053,0
0.01,0.243,0.208,0.05,0.121,0.079,0.051
0.02,0.243,0.366,0.11,0.106,0.079,0.076
0.02,0.206,0.464,0.105,0.076,0.079,0.076
0.04,0.175,0.366,0.072,0.081,0.066,0.025
0.035,0.175,0.375,0.149,0.03,0.118,0.152
0.045,0.19,0.445,0.143,0.035,0.197,0.379
0.04,0.201,0.287,0.253,0.025,0.158,0.253
0.075,0.185,0.425,0.171,0.02,0.184,0.278
0.14,0.233,0.534,0.325,0.051,0.303,0.379
0.19,0.339,0.721,0.402,0.035,0.408,0.53
0.241,0.222,0.652,0.452,0.066,0.566,0.581
0.261,0.185,0.85,0.551,0.131,0.605,0.631
0.316,0.275,0.82,0.551,0.182,0.539,0.657
0.401,0.37,0.81,0.463,0.349,0.447,0.53
0.326,0.376,0.85,0.446,0.47,0.395,0.404
0.211,0.344,0.632,0.369,0.455,0.303,0.328
0.296,0.259,0.86,0.292,0.445,0.329,0.328
0.17,0.185,0.929,0.171,0.708,0.447,0.429
0.195,0.18,0.87,0.275,0.733,0.382,0.455
0.211,0.138,0.662,0.325,0.627,0.5,0.455
0.271,0.063,0.8,0.452,0.733,0.316,0.227
0.261,0.048,0.83,0.259,0.799,0.197,0.227
0.356,0.032,0.958,0.215,0.652,0.342,0.631
0.411,0,0.939,0.397,0.607,0.697,0.631
0.366,0.005,0.899,0.562,0.733,0.605,0.48
0.301,0,0.909,0.468,0.834,0.447,0.379
0.246,0,0.939,0.419,0.541,0.447,0.429
0.221,0,0.939,0.375,0.44,0.421,0.48
0.266,0,0.919,0.419,0.541,0.513,0.505
0.346,0,0.879,0.501,0.561,0.474,0.505
0.336,0,0.909,0.38,0.42,0.447,0.53
0.195,0,0.83,0.331,0.475,0.474,0.455
0.17,0,0.534,0.292,0.581,0.382,0.379
0.12,0,0.277,0.309,0.531,0.316,0.379
0.15,0,0.425,0.275,0.283,0.368,0.328
0.15,0,0.573,0.253,0.233,0.25,0.328
0.14,0,0.879,0.248,0.273,0.487,0.581
0.19,0,0.613,0.534,0.192,0.316,0.379
0.341,0,0.504,0.303,0.147,0.382,0.455
0.386,0,0.771,0.242,0.147,0.329,0.303
0.411,0,0.85,0.215,0.126,0.474,0.631
0.461,0.011,0.84,0.419,0.081,0.592,0.505
0.526,0.116,0.84,0.556,0.106,0.487,0.505
0.506,0.275,0.771,0.452,0.076,0.5,0.53
0.451,0.397,0.85,0.435,0.086,0.513,0.379
0.386,0.487,0.84,0.457,0.051,0.434,0.354
0.266,0.566,0.662,0.435,0.01,0.342,0.379
0.15,0.603,0.632,0.314,0.172,0.382,0.581
0.226,0.64,0.721,0.242,0.035,0.303,0.354
0.19,0.693,0.563,0.226,0.02,0.211,0.202
0.13,0.651,0.375,0.198,0.02,0.355,0.505
0.18,0.608,0.336,0.204,0.01,0.5,0.53
0.145,0.529,0.534,0.143,0.015,0.395,0.354
0.115,0.455,0.761,0.099,0.015,0.197,0.253
0.08,0.386,0.751,0.072,0.111,0.184,0.429
0.06,0.381,0.751,0.077,0.137,0.632,0.884
0.06,0.365,0.8,0.364,0.046,0.645,0.884
0.015,0.339,0.543,0.446,0.04,0.671,0.884
0.005,0.302,0.682,0.452,0.015,0.658,0.884
0,0.259,0.791,0.331,0.04,0.632,0.884
0,0.228,0.84,0.204,0.035,0.618,0.833
0,0.143,0.81,0.066,0.101,0.447,0.808
0.03,0.127,0.86,0.006,0.061,0.066,0.732
0.075,0.106,0.761,0.022,0.03,0.092,0.328
0.09,0.063,0.86,0.237,0.076,0.237,0.227
0.03,0.042,0.949,0.209,0.091,0.382,0.429
0.115,0.048,0.949,0.408,0.147,0.461,0.53
0.321,0.053,0.929,0.523,0.121,0.724,0.682
0.456,0.074,0.899,0.347,0.177,0.618,0.707
0.391,0.069,0.87,0.325,0.293,0.408,0.429
0.381,0.079,0.82,0.446,0.389,0.487,0.48
0.617,0.063,0.682,0.463,0.617,0.513,0.455
0.652,0.069,0.583,0.562,0.677,0.645,0.732
0.647,0.053,0.603,0.573,0.677,0.566,0.631
0.652,0.042,0.524,0.634,0.753,0.553,0.682
0.486,0.005,0.464,0.413,0.88,0.355,0.429
0.331,0,0.662,0.237,0.885,0.316,0.404
0.331,0,0.494,0.369,0.885,0.382,0.404
0.451,0.032,0.395,0.336,0.87,0.316,0.404
0.556,0.058,0.336,0.353,0.794,0.368,0.505
0.486,0.032,0.415,0.298,0.844,0.355,0.48
0.561,0.063,0.395,0.358,0.647,0.382,0.455
0.536,0.069,0.306,0.397,0.662,0.382,0.429
0.586,0.048,0.188,0.248,0.713,0.25,0.253
0.466,0.016,0.168,0.154,0.683,0.197,0.202
0.291,0,0.138,0.132,0.804,0.158,0.177
0.356,0,0.04,0.154,0.804,0.118,0.278
0.351,0,0.069,0.11,0.814,0.105,0.126
0.241,0,0.188,0.094,0.662,0.197,0.126
0.296,0,0.326,0.215,0.617,0.197,0.126
0.386,0.005,0.277,0.237,0.667,0.079,0.025
0.221,0.005,0.237,0.287,0.672,0.197,0.126
0.336,0,0.099,0.259,0.784,0.171,0.152
0.221,0,0.168,0.105,0.652,0.105,0.025
0.155,0,0.178,0.083,0.632,0.092,0.126
0.125,0,0.356,0.083,0.526,0.211,0.227
0.155,0.021,0.524,0.127,0.435,0.237,0.278
0.19,0.005,0.346,0.204,0.308,0.303,0.177
0.221,0,0.356,0.22,0.293,0.171,0.126
0.17,0,0.425,0.143,0.329,0.105,0.101
0.145,0,0.484,0.044,0.233,0.079,0.025
0.125,0,0.415,0.017,0.162,0.039,0
0.08,0,0.296,0,0.157,0.053,0
0.045,0,0.178,0,0.081,0.039,0
0.01,0,0.148,0,0.056,0.026,0
0,0,0.217,0,0.03,0.026,0
0,0,0.296,0,0.005,0,0
0,0,0.168,0,0,0,0
0,0,0.217,0.006,0,0.013,0.025
0,0,0.306,0.061,0,0.066,0.101
0.01,0,0.316,0.094,0,0.066,0.076
0.015,0,0.494,0.05,0,0.053,0.025
0.03,0,0.623,0.006,0.015,0.013,0
0.035,0,0.761,0,0.035,0,0
0.03,0.026,0.662,0,0.066,0,0
0.025,0.249,0.534,0,0.04,0,0.025
0.01,0.291,0.455,0.006,0.046,0.013,0.025
0.01,0.529,0.346,0,0.03,0,0
0.015,0.614,0.296,0.006,0.04,0.013,0.152
0.155,0.656,0.158,0.039,0.01,0.197,0.227
0.195,0.481,0.138,0.055,0,0.276,0.328
0.19,0.328,0.257,0.121,0.015,0.289,0.303
0.17,0.233,0.425,0.479,0.025,0.632,0.606
0.206,0.212,0.524,0.623,0.071,0.658,0.707
0.18,0.116,0.415,0.512,0.025,0.632,0.581
0.391,0.058,0.504,0.397,0.015,0.618,0.783
0.607,0.011,0.711,0.303,0.02,0.658,0.758
0.586,0.005,0.642,0.16,0.015,0.658,0.732
0.526,0,0.642,0.121,0.01,0.487,0.682
0.416,0,0.553,0.138,0.051,0.276,0.556
0.351,0.048,0.484,0.215,0.04,0.368,0.177
0.256,0.101,0.494,0.325,0.056,0.408,0.253
0.15,0.132,0.553,0.171,0.172,0.289,0.379
0.09,0.217,0.553,0.11,0.172,0.079,0.253
0.09,0.169,0.455,0.132,0.263,0.237,0.101
0.055,0.228,0.415,0.088,0.258,0.105,0.126
0.095,0.243,0.316,0.066,0.137,0.079,0.101
0.145,0.185,0.356,0.149,0.177,0.171,0.202
0.125,0.212,0.306,0.061,0.137,0.118,0.152
0.085,0.206,0.287,0.011,0.096,0.026,0.025
0.08,0.28,0.296,0.055,0.081,0.105,0.076
0.11,0.196,0.346,0.149,0.046,0.171,0.126
0.095,0.185,0.277,0.358,0,0.434,0.455
0.09,0.206,0.119,0.529,0,0.461,0.631
0.145,0.233,0.198,0.727,0,0.513,0.707
0.221,0.063,0.306,0.777,0,0.513,0.758
0.326,0.016,0.672,0.837,0,0.513,0.934
0.431,0,0.8,0.837,0,0.526,0.859
0.531,0,0.83,0.843,0.005,0.526,0.909
0.496,0,0.939,0.689,0.051,0.526,0.934
0.426,0,0.968,0.815,0.086,0.526,0.934
0.586,0,0.968,0.926,0.253,0.526,0.934
0.787,0,0.968,0.92,0.495,0.526,0.934
0.692,0.026,0.968,0.904,0.268,0.526,0.934
0.596,0.032,0.879,0.832,0.45,0.526,0.934
0.551,0.042,0.761,0.843,0.637,0.526,0.934
0.677,0.116,0.85,0.788,0.723,0.526,0.909
0.742,0.048,0.711,0.689,0.809,0.5,0.859
0.657,0.005,0.425,0.634,0.521,0.474,0.758
0.717,0.026,0.425,0.567,0.566,0.447,0.657
0.697,0.037,0.623,0.468,0.814,0.382,0.404
0.607,0.074,0.425,0.342,0.89,0.329,0.278
0.481,0.042,0.425,0.336,0.844,0.211,0.227
0.301,0.032,0.306,0.231,0.733,0.158,0.152
0.256,0.005,0.435,0.198,0.713,0.105,0.051
0.15,0,0.366,0.094,0.425,0.039,0
0.19,0,0.356,0,0.212,0.026,0
0.14,0.021,0.494,0.022,0.152,0.066,0.126
0.085,0.127,0.771,0.022,0.111,0.211,0.253
0.165,0.481,0.919,0.242,0.066,0.342,0.278
0.296,0.735,0.889,0.375,0.04,0.316,0.354
0.281,0.878,0.86,0.364,0.01,0.329,0.379
0.271,0.862,0.909,0.375,0,0.342,0.455
0.486,0.656,0.879,0.562,0,0.5,0.581
0.491,0.54,0.87,0.683,0.005,0.513,0.53
0.471,0.497,0.652,0.694,0.142,0.513,0.556
0.571,0.381,0.573,0.689,0.384,0.513,0.556
0.531,0.206,0.445,0.667,0.334,0.5,0.556
0.526,0.074,0.385,0.656,0.263,0.513,0.581
0.556,0.037,0.247,0.7,0.399,0.487,0.581
0.491,0.042,0.198,0.722,0.455,0.5,0.429
0.496,0.021,0.079,0.711,0.526,0.5,0.455
0.486,0,0.02,0.545,0.617,0.368,0.227
0.276,0.011,0.049,0.353,0.516,0.276,0.126
0.201,0.09,0.079,0.204,0.354,0.184,0.177
0.175,0.085,0.049,0.182,0.435,0.197,0.126
0.165,0.095,0.069,0.121,0.541,0.158,0.152
0.13,0.185,0.04,0.033,0.435,0.079,0.101
0.145,0.09,0.089,0,0.571,0.039,0.051
0.256,0.085,0.346,0,0.804,0.039,0.101
0.301,0.063,0.563,0.006,0.93,0.053,0.177
0.306,0.085,0.741,0.006,0.9,0.092,0.202
0.251,0.058,0.771,0.05,0.94,0.092,0.126
0.16,0.148,0.583,0.099,0.566,0.145,0.126
0.321,0.169,0.405,0.231,0.258,0.276,0.152
0.436,0.19,0.375,0.331,0.627,0.421,0.303
0.486,0.201,0.385,0.507,0.784,0.474,0.429
0.376,0.328,0.158,0.584,0.283,0.487,0.429
0.346,0.265,0.326,0.623,0.147,0.513,0.455
0.251,0.254,0.583,0.617,0.121,0.526,0.606
0.231,0.228,0.751,0.545,0.126,0.513,0.758
0.211,0.212,0.82,0.601,0.086,0.5,0.808
0.286,0.212,0.86,0.678,0.091,0.513,0.682
0.356,0.217,0.949,0.771,0.04,0.526,0.732
0.451,0.249,0.919,0.804,0,0.526,0.732
0.571,0.243,0.879,0.645,0.005,0.513,0.732
0.702,0.196,0.741,0.424,0.379,0.447,0.505
0.627,0.132,0.741,0.27,0.839,0.408,0.53
0.571,0.132,0.8,0.303,0.677,0.408,0.606
0.571,0.111,0.721,0.303,0.718,0.395,0.631
0.737,0.079,0.721,0.386,0.632,0.395,0.657
0.712,0.058,0.692,0.287,0.794,0.421,0.606
0.531,0.069,0.573,0.408,0.92,0.447,0.556
0.526,0.116,0.237,0.545,0.956,0.303,0.581
0.501,0.206,0.099,0.424,0.89,0.421,0.859
0.586,0.243,0.109,0.419,0.854,0.434,0.884
0.551,0.243,0.188,0.579,0.829,0.487,0.808
0.466,0.169,0.287,0.523,0.541,0.461,0.606
0.491,0.148,0.346,0.375,0.88,0.434,0.505
0.386,0.111,0.405,0.353,0.763,0.303,0.354
0.246,0.069,0.573,0.298,0.718,0.184,0.177
0.19,0.095,0.751,0.143,0.748,0.105,0.152
0.175,0.138,0.652,0.033,0.768,0.224,0.202
0.135,0.122,0.761,0.033,0.571,0.211,0.303
0.09,0.101,0.702,0.121,0.612,0.329,0.682
0.125,0.074,0.563,0.143,0.723,0.5,0.783
0.436,0.122,0.662,0.485,0.49,0.513,0.909
0.591,0.212,0.751,0.678,0.415,0.526,0.934
0.742,0.169,0.781,0.667,0.233,0.513,0.934
0.727,0.153,0.573,0.331,0.187,0.513,0.884
0.722,0.18,0.524,0.628,0.056,0.5,0.783
0.872,0.333,0.8,0.837,0.298,0.513,0.833
0.872,0.429,0.86,0.871,0.308,0.5,0.758
0.862,0.333,0.879,0.865,0.925,0.513,0.783
0.737,0.212,0.8,0.854,0.92,0.5,0.758
0.702,0.18,0.771,0.793,0.92,0.513,0.631
0.541,0.153,0.613,0.766,0.95,0.513,0.631
0.491,0.132,0.405,0.799,0.961,0.5,0.631
0.421,0.127,0.227,0.722,0.961,0.513,0.758
0.386,0.122,0.158,0.755,0.915,0.513,0.657
0.361,0.095,0.128,0.755,0.713,0.513,0.606
0.366,0.095,0.119,0.678,0.44,0.513,0.682
0.286,0.085,0.217,0.705,0.263,0.5,0.631
0.226,0.116,0.306,0.661,0.167,0.5,0.455
0.216,0.143,0.296,0.59,0.147,0.461,0.505
0.246,0.09,0.237,0.507,0.157,0.474,0.556
0.206,0.074,0.227,0.507,0.091,0.474,0.379
0.165,0.116,0.128,0.397,0.096,0.434,0.379
0.17,0.116,0.079,0.353,0.025,0.421,0.354
0.145,0.111,0.208,0.331,0.005,0.342,0.278
0.105,0.116,0.198,0.281,0,0.276,0.227
0.095,0.069,0.099,0.209,0,0.263,0.202
0.085,0.042,0.069,0.182,0,0.237,0.152
0.09,0.021,0.059,0.138,0,0.184,0.177
0.02,0.026,0.049,0.127,0,0.211,0.126
0,0.016,0.01,0.204,0,0.197,0.126
0.03,0.016,0,0.187,0,0.184,0.101
0.08,0.011,0.01,0.193,0,0.171,0.076
0.11,0.011,0.059,0.259,0,0.158,0.126
0.1,0.079,0.109,0.253,0,0.237,0.126
0.1,0.127,0.158,0.231,0,0.211,0.177
0.055,0.222,0.109,0.209,0.01,0.197,0.126
0.055,0.222,0.059,0.259,0.04,0.25,0.177
0.06,0.196,0.128,0.264,0.03,0.303,0.253
0.075,0.275,0.208,0.347,0.015,0.355,0.429
0.09,0.423,0.247,0.358,0.035,0.303,0.379
0.1,0.587,0.198,0.386,0.061,0.513,0.455
0.175,0.667,0.356,0.435,0.152,0.487,0.505
0.185,0.603,0.366,0.634,0.126,0.566,0.505
0.276,0.651,0.464,0.606,0.167,0.605,0.606
0.381,0.566,0.553,0.623,0.217,0.618,0.631
0.436,0.492,0.543,0.656,0.248,0.737,0.682
0.356,0.497,0.346,0.667,0.233,0.75,0.808
0.366,0.519,0.326,0.628,0.182,0.75,0.808
0.341,0.661,0.277,0.617,0.167,0.776,0.783
0.336,0.434,0.247,0.441,0.207,0.592,0.429
0.331,0.291,0.445,0.32,0.313,0.487,0.354
0.286,0.159,0.504,0.562,0.359,0.526,0.455
0.346,0.079,0.474,0.645,0.425,0.539,0.455
0.586,0,0.435,0.705,0.41,0.737,0.758
0.772,0,0.632,0.722,0.445,0.855,0.909
0.842,0,0.702,0.871,0.475,0.868,0.909
0.752,0.011,0.583,0.799,0.394,0.868,0.934
0.702,0.063,0.603,0.826,0.283,0.803,0.884
0.617,0.069,0.573,0.799,0.222,0.789,0.859
0.561,0.132,0.435,0.716,0.415,0.724,0.808
0.596,0.169,0.474,0.545,0.784,0.632,0.808
0.657,0.196,0.613,0.38,0.834,0.658,0.657
0.576,0.196,0.494,0.176,0.885,0.592,0.505
0.556,0.164,0.435,0.055,0.885,0.5,0.606
0.481,0.143,0.415,0.011,0.94,0.684,0.455
0.286,0.09,0.336,0,0.91,0.513,0.606
0.185,0.048,0.296,0,0.854,0.447,0.48
0.175,0.048,0.237,0,0.708,0.276,0.227
0.085,0.053,0.198,0,0.42,0.039,0.051
0.04,0.069,0.217,0,0.202,0,0.126
0.135,0.048,0.079,0,0.081,0,0.126
0.05,0.032,0.01,0,0.01,0.053,0.025
0.06,0.026,0.069,0.028,0,0.039,0.025
0.1,0.011,0.049,0.017,0,0.039,0.076
0.13,0,0.02,0.061,0,0.118,0.126
0.12,0,0.04,0.154,0,0.118,0.076
0.12,0,0.01,0.132,0.01,0.105,0.076
0.07,0,0.01,0.154,0.01,0.158,0.101
0.09,0,0.049,0.215,0.137,0.132,0.076
0.035,0,0.109,0.143,0.313,0.118,0.101
0.05,0.005,0.109,0.094,0.288,0.145,0.076
0.065,0.005,0.119,0.132,0.238,0.145,0.101
0.06,0.005,0.138,0.022,0.167,0.197,0.177
0.095,0.016,0.217,0.165,0.131,0.316,0.278
0.125,0.021,0.208,0.413,0.121,0.25,0.328
0.13,0.005,0.316,0.231,0.121,0.408,0.631
0.165,0.005,0.375,0.534,0.04,0.487,0.732
0.125,0.011,0.336,0.38,0.015,0.355,0.48
0.13,0,0.405,0.204,0.046,0.053,0.126
0.105,0.127,0.474,0.127,0.035,0.013,0.025
0.12,0.312,0.356,0.022,0.04,0.026,0
0.05,0.323,0.267,0,0.015,0,0
0.005,0.206,0.208,0,0.01,0,0
0,0.143,0.128,0,0.015,0,0
0,0.143,0.02,0.006,0.071,0.013,0
0,0.122,0,0.006,0.137,0.013,0
0,0.138,0,0,0.293,0.026,0
0,0.101,0,0,0.177,0.013,0
0,0.026,0,0.017,0.025,0.053,0
0.01,0.021,0,0.017,0,0.039,0.076
0.05,0.026,0,0.006,0,0.053,0.051
0.065,0.058,0,0.017,0,0.039,0.076
0.06,0.053,0.059,0.011,0,0.053,0.126
0.055,0.005,0.059,0.017,0,0.092,0.051
0.04,0,0.099,0.028,0,0.079,0.051
0.04,0.005,0.208,0.05,0,0.079,0.076
0.12,0.016,0.524,0.094,0,0.118,0.152
0.18,0.063,0.771,0.121,0,0.105,0.177
0.251,0.138,0.919,0.32,0.015,0.224,0.328
0.411,0.243,0.978,0.474,0.04,0.395,0.505
0.411,0.46,0.978,0.49,0.061,0.461,0.556
0.667,0.614,0.978,0.556,0.131,0.513,0.808
0.822,0.545,0.978,0.645,0.126,0.513,0.934
0.892,0.339,0.978,0.86,0.228,0.513,0.934
0.867,0.312,0.978,0.893,0.273,0.513,0.934
0.882,0.492,0.978,0.931,0.501,0.513,0.934
0.907,0.704,0.978,0.937,0.683,0.513,0.934
